MODEL,PRICE,KM,MFG YEAR,VEHICLE COLOR,FUEL TYPE,VEHICLE TYPE
WR-V SV DIESEL,750000,68000,2016,GOLDEN BROWN METALLIC,DIESEL,MANUAL
WR-V SV DIESEL,835000,51000,2018,PREMIUM AMBER,DIESEL,MANUAL
WR-V SV DIESEL,725000,74000,2015,LUNAR SILVER,DIESEL,MANUAL
WR-V EXCLUSIVE EDITION DIESEL,1250000,38000,2020,REDIANT RED METALLIC,DIESEL,MANUAL
WR-V EXCLUSIVE EDITION DIESEL,945000,71000,2016,WHITE ORCHID PEARL,DIESEL,MANUAL
WR-V EXCLUSIVE EDITION DIESEL,1125000,54000,2018,MODERN STEEL METALLIC,DIESEL,MANUAL
WR-V EXCLUSIVE EDITION DIESEL,1015000,65000,2017,GOLDEN BROWN METALLIC,DIESEL,MANUAL
WR-V EXCLUSIVE EDITION DIESEL,1275000,46000,2019,PREMIUM AMBER,DIESEL,MANUAL
WR-V EXCLUSIVE EDITION DIESEL,915000,78000,2015,LUNAR SILVER,DIESEL,MANUAL
WR-V VX DIESEL,1175000,25000,2020,REDIANT RED METALLIC,DIESEL,MANUAL
WR-V VX DIESEL,815000,73000,2015,WHITE ORCHID PEARL,DIESEL,MANUAL
WR-V VX DIESEL,945000,64000,2017,MODERN STEEL METALLIC,DIESEL,MANUAL
WR-V VX DIESEL,925000,69000,2016,GOLDEN BROWN METALLIC,DIESEL,MANUAL
WR-V VX DIESEL,1015000,54000,2018,PREMIUM AMBER,DIESEL,MANUAL
WR-V VX DIESEL,1125000,47000,2019,LUNAR SILVER,DIESEL,MANUAL
JAZZ V,845000,38000,2020,REDIANT RED METALLIC,PETROL,MANUAL
JAZZ V,575000,67000,2017,WHITE ORCHID PEARL,PETROL,MANUAL
JAZZ V,755000,58000,2019,LUNAR SILVER METALLIC,PETROL,MANUAL
JAZZ V,635000,65000,2018,MODERN STEEL METALLIC,PETROL,MANUAL
JAZZ V,515000,69000,2016,GOLDEN BROWN METALLIC,PETROL,MANUAL
JAZZ VX,655000,56000,2018,REDIANT RED METALLIC,PETROL,MANUAL
JAZZ VX,545000,68000,2016,WHITE ORCHID PEARL,PETROL,MANUAL
JAZZ VX,615000,64000,2017,LUNAR SILVER METALLIC,PETROL,MANUAL
JAZZ VX,855000,37000,2020,MODERN STEEL METALLIC,PETROL,MANUAL
JAZZ VX,765000,47000,2019,GOLDEN BROWN METALLIC,PETROL,MANUAL
JAZZ V CVT,715000,74000,2016,REDIANT RED METALLIC,PETROL,AMT
JAZZ V CVT,845000,61000,2018,WHITE ORCHID PEARL,PETROL,AMT
JAZZ V CVT,950000,31000,2020,LUNAR SILVER METALLIC,PETROL,AMT
JAZZ V CVT,925000,57000,2019,MODERN STEEL METALLIC,PETROL,AMT
JAZZ V CVT,755000,59000,2017,GOLDEN BROWN METALLIC,PETROL,AMT
JAZZ ZX,975000,27000,2020,REDIANT RED METALLIC,PETROL,MANUAL
JAZZ ZX,765000,57000,2017,WHITE ORCHID PEARL,PETROL,MANUAL
JAZZ ZX,725000,73000,2016,LUNAR SILVER METALLIC,PETROL,MANUAL
JAZZ ZX,935000,54000,2019,MODERN STEEL METALLIC,PETROL,MANUAL
JAZZ ZX,850000,65000,2018,GOLDEN BROWN METALLIC,PETROL,MANUAL
JAZZ VX CVT,1000000,31000,2020,REDIANT RED METALLIC,PETROL,AMT
JAZZ VX CVT,755000,73000,2017,WHITE ORCHID PEARL,PETROL,AMT
JAZZ VX CVT,725000,75000,2016,LUNAR SILVER METALLIC,PETROL,AMT
JAZZ VX CVT,855000,65000,2018,MODERN STEEL METALLIC,PETROL,AMT
JAZZ VX CVT,975000,52000,2019,GOLDEN BROWN METALLIC,PETROL,AMT
JAZZ ZX CVT,945000,62000,2018,REDIANT RED METALLIC,PETROL,AMT
JAZZ ZX CVT,855000,76000,2017,WHITE ORCHID PEARL,PETROL,AMT
JAZZ ZX CVT,1075000,39000,2020,LUNAR SILVER METALLIC,PETROL,AMT
JAZZ ZX CVT,815000,78000,2016,MODERN STEEL METALLIC,PETROL,AMT
JAZZ ZX CVT,1015000,81000,2019,GOLDEN BROWN METALLIC,PETROL,AMT
CR-V 2.0 CVT,3425000,45000,2020,REDIANT RED METALLIC,PETROL,AMT
CR-V 2.0 CVT,3315000,65000,2018,WHITE ORCHID PEARL,PETROL,AMT
CR-V 2.0 CVT,3115000,74000,2016,MODERN STEEL METALLIC,PETROL,AMT
CR-V 2.0 CVT,3245000,69000,2017,GOLDEN BROWN METALLIC,PETROL,AMT
CR-V 2.0 CVT,3375000,58000,2019,RADIANT RED METALLIC,PETROL,AMT
CR-V 2.0 CVT,3415000,47000,2020,LUNAR SILVER,PETROL,AMT
CR-V SPECIAL EDITION,3325000,59000,2018,REDIANT RED METALLIC,PETROL,AMT
CR-V SPECIAL EDITION,3455000,56000,2019,WHITE ORCHID PEARL,PETROL,AMT
CR-V SPECIAL EDITION,3275000,69000,2017,MODERN STEEL METALLIC,PETROL,AMT
CR-V SPECIAL EDITION,3555000,38000,2020,GOLDEN BROWN METALLIC,PETROL,AMT
CR-V SPECIAL EDITION,3265000,77000,2016,RADIANT RED METALLIC,PETROL,AMT
CR-V SPECIAL EDITION,3355000,54000,2018,LUNAR SILVER,PETROL,AMT
 CITY 4TH GENERATION SV MT,855000,50000,2017,REDIANT RED METALLIC,PETROL,MANUAL
 CITY 4TH GENERATION SV MT,816000,70000,2016,WHITE ORCHID PEARL,PETROL,MANUAL
 CITY 4TH GENERATION SV MT,916000,26000,2020,MODERN STEEL METALLIC,PETROL,MANUAL
 CITY 4TH GENERATION SV MT,751000,73000,2015,GOLDEN BROWN METALLIC,PETROL,MANUAL
 CITY 4TH GENERATION SV MT,911000,66000,2018,LUNAR SILVER,PETROL,MANUAL
 CITY 4TH GENERATION V MT,836000,66000,2015,REDIANT RED METALLIC,PETROL,MANUAL
 CITY 4TH GENERATION V MT,936000,53000,2017,WHITE ORCHID PEARL,PETROL,MANUAL
 CITY 4TH GENERATION V MT,1021000,27000,2019,MODERN STEEL METALLIC,PETROL,MANUAL
